t ω_g β v_dc err_v i_f_ref_d v_w m_m_ref
15 1.71818 0 5399.93 0.0726891 785.914 8.5046 -839593
15.1 1.71404 0 5395.49 4.50614 779.534 8.7436 -834862
15.2 1.70918 0 5397.02 2.98285 773.42 8.46794 -830844
15.3 1.71486 0 5398.01 1.9866 769.356 11.8896 -826144
15.4 1.71938 0 5405.47 -5.4662 776.216 11.5427 -831644
15.5 1.72145 0 5402.77 -2.77208 782.439 10.7798 -836037
15.6 1.71684 0 5400.07 -0.06552 783.707 8.58694 -838051
15.7 1.71324 0 5395.82 4.17617 777.851 8.92729 -833562
15.8 1.70988 0 5397.59 2.4148 772.678 8.9914 -830073
15.9 1.71316 0 5398.64 1.35824 769.74 11.1182 -826815
16 1.71628 0 5403.31 -3.3109 773.829 11.0809 -829999
16.1 1.71416 0 5401.45 -1.4489 777.274 9.42245 -833023
16.2 1.7082 0 5397.06 2.93561 773.752 8.04575 -830966
16.3 1.70345 0 5395.32 4.68248 765.91 8.48262 -825193
16.4 1.70447 0 5397.66 2.33622 760.633 10.3697 -820614
16.5 1.70606 0 5401.67 -1.66598 761.99 10.5525 -821598
16.6 1.7107 0 5401.67 -1.67116 765.051 11.5332 -823127
16.7 1.70804 0 5402.66 -2.66433 769.513 9.21831 -827617
16.8 1.71224 0 5398.06 1.94091 767.908 11.4003 -825045
16.9 1.70772 0 5402.7 -2.69918 770.889 8.58051 -829108
17 1.71357 0 5397.08 2.92001 767.919 11.936 -824733
17.1 1.70912 0 5404.13 -4.12851 772.498 8.61423 -830388
17.2 1.71201 0 5396.46 3.54049 769.26 10.9876 -826085
17.3 1.71181 0 5402.61 -2.61317 771.44 10.0231 -828881
17.4 1.71708 0 5400.32 -0.315449 772.993 11.7696 -828685
17.5 1.71985 0 5404.2 -4.19733 779.041 10.9917 -833795
17.6 1.72034 0 5401.35 -1.34796 782.72 10.2803 -836491
17.7 1.71962 0 5399.8 0.198242 783.012 9.89496 -836968
17.8 1.71807 0 5399.19 0.809625 781.787 9.62381 -836264
17.9 1.72108 0 5399.45 0.545433 780.675 11.072 -834757
18 1.72312 0 5402.73 -2.729 784.289 10.7799 -837683
18.1 1.72547 0 5401.41 -1.41163 787.435 10.8875 -839673
18.2 1.72985 0 5402.06 -2.05808 790.934 11.5559 -841964
18.3 1.72861 0 5402.69 -2.68549 795.59 9.77178 -846244
18.4 1.72293 0 5397.56 2.43759 793.294 8.22044 -845032
18.5 1.72326 0 5396.07 3.92596 786.729 10.2461 -839485
18.6 1.71794 0 5400.31 -0.305508 785.495 8.33387 -839813
18.7 1.71205 0 5395.2 4.79557 778.867 8.09188 -834632
18.8 1.70657 0 5395.65 4.34823 770.707 8.22757 -828918
18.9 1.7053 0 5396.79 3.21459 764.334 9.6553 -823625
19 1.70159 0 5399.32 0.683143 762.009 8.83732 -822397
19.1 1.69592 0 5396.68 3.3196 757.042 8.10549 -818820
19.2 1.69263 0 5396 4.00181 749.996 8.94462 -813371
19.3 1.69743 0 5399.23 0.77175 747.212 11.5063 -810225
19.4 1.69628 0 5403.69 -3.69221 752.087 9.65523 -814823
19.5 1.69984 0 5399.02 0.984138 752.266 11.1313 -813723
19.6 1.69843 0 5402.42 -2.42341 755.263 9.57968 -817138
19.7 1.69277 0 5397.69 2.30757 753.039 8.09673 -815779
19.8 1.69643 0 5396.71 3.28512 747.432 11.1472 -810352
19.9 1.69693 0 5403.51 -3.50539 750.978 10.1725 -813864
20 1.69868 0 5400.11 -0.113284 752.624 10.5686 -814343
20.1 1.69976 0 5401.27 -1.26539 754.455 10.3639 -816028
20.2 1.69951 0 5400.51 -0.508209 755.708 9.95263 -817060
20.3 1.69564 0 5399.08 0.919278 754.628 8.75673 -816823
20.4 1.6898 0 5396.43 3.56952 749.209 8.01453 -813105
20.5 1.69225 0 5396.82 3.18454 743.208 10.7492 -807516
20.6 1.68698 0 5401.79 -1.78628 744.375 8.21981 -809854
20.7 1.68308 0 5395.39 4.61018 738.636 8.69514 -804820
20.8 1.68223 0 5397.84 2.15514 733.645 9.68369 -801107
20.9 1.678 0 5399.39 0.609881 731.872 8.55775 -800290
21 1.67677 0 5396.99 3.01168 727.37 9.54523 -796272
21.1 1.67614 0 5399.63 0.366921 725.576 9.72563 -795113
21.2 1.67491 0 5399.58 0.42365 724.823 9.53633 -794508
21.3 1.67237 0 5398.85 1.15092 723.022 9.10412 -793347
21.4 1.667 0 5397.64 2.35888 719.211 8.09644 -790943
21.5 1.66989 0 5397.09 2.90553 714.116 10.7745 -785873
21.6 1.66724 0 5402.35 -2.34505 716.189 9.04493 -788600
21.7 1.66429 0 5397.37 2.62741 713.481 8.93746 -786094
21.8 1.66307 0 5398.13 1.87432 709.726 9.48586 -783321
21.9 1.6628 0 5399.58 0.420939 708.338 9.781 -782171
22 1.66076 0 5399.69 0.31452 707.717 9.21434 -781918
22.1 1.65894 0 5398.37 1.62674 705.291 9.28171 -779993
22.2 1.65466 0 5398.44 1.56432 702.397 8.43963 -778292
22.3 1.65219 0 5397.01 2.98566 697.527 9.04314 -774275
22.4 1.65133 0 5398.8 1.20256 694.567 9.54875 -771969
22.5 1.64809 0 5399.31 0.687245 693.089 8.77063 -771166
22.6 1.65282 0 5398.6 1.40363 690.82 11.2463 -768140
22.7 1.6499 0 5403.19 -3.19279 694.723 8.88377 -772560
22.8 1.64462 0 5396.67 3.33417 691.379 8.03434 -769828
22.9 1.64785 0 5397.27 2.73036 686.118 10.7694 -764906
23 1.65063 0 5403.32 -3.31851 689.636 10.6465 -767916
23.1 1.64721 0 5400.95 -0.94807 692.379 8.70977 -770506
23.2 1.64885 0 5397.51 2.48563 689.279 10.2961 -767324
23.3 1.64962 0 5401.68 -1.67818 690.59 10.0414 -768847
23.4 1.65289 0 5400.8 -0.799433 692.428 10.8031 -769572
23.5 1.65868 0 5402.87 -2.86848 696.808 11.6018 -772619
23.6 1.66252 0 5404.03 -4.03153 703.705 11.0249 -778044
23.7 1.66135 0 5401.64 -1.63615 707.72 9.49544 -781649
23.8 1.66446 0 5399.11 0.885055 707.166 10.8154 -780551
23.9 1.66453 0 5402.31 -2.30671 710.041 9.89145 -783480
24 1.66188 0 5399.27 0.734544 709.984 9.02327 -783541
24.1 1.66216 0 5398.19 1.80558 707.129 9.94903 -781047
24.2 1.66376 0 5400.81 -0.813125 707.509 10.3534 -781317
24.3 1.66291 0 5400.94 -0.938639 709.176 9.60241 -782818
24.4 1.66362 0 5399.28 0.716956 708.564 10.0838 -782021
24.5 1.66752 0 5401.15 -1.15387 709.886 11.0678 -782688
24.6 1.66255 0 5401.86 -1.8642 713.002 8.22578 -786357
24.7 1.6596 0 5395.64 4.36091 707.648 8.91828 -781676
24.8 1.66367 0 5399.25 0.750005 704.742 11.1007 -778911
24.9 1.66791 0 5403.84 -3.83823 709.832 11.1751 -782735
25 1.66611 0 5402.05 -2.05474 714.354 9.31457 -786731
25.1 1.66671 0 5398.23 1.77262 712.728 10.0666 -785029
25.2 1.67245 0 5401.5 -1.49881 714.088 11.661 -785600
25.3 1.66843 0 5403.31 -3.30898 719.386 8.59067 -791015
25.4 1.66343 0 5395.7 4.2969 714.735 8.21837 -787218
25.5 1.6587 0 5396.44 3.56457 707.89 8.29842 -782506
25.6 1.66526 0 5398.48 1.51536 704.244 11.8798 -778063
